Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Domain-Specific Language for ETL Patterns Specification in Data Warehousing Systems","Progress in Artificial Intelligence","","","","10.1007/978-3-319-23485-4_60","Bruno OliveiraOrlando Belo","2015","http://link.springer.com/chapter/10.1007/978-3-319-23485-4_60","Chapter"
"An Extensible Domain-Specific Language for Describing Problem-Solving Procedures","Artificial Intelligence in Education","","","","10.1007/978-3-319-61425-0_7","Bastiaan HeerenJohan Jeuring","2017","http://link.springer.com/chapter/10.1007/978-3-319-61425-0_7","Chapter"
"Enriching Domain-Specific Language Models Using Domain Independent WWW N-Gram Corpus","Artificial Intelligence and Soft Computing","","","","10.1007/978-3-642-29350-4_5","Harry Chang","2012","http://link.springer.com/chapter/10.1007/978-3-642-29350-4_5","Chapter"
"A Domain-Specific Language for Do-It-Yourself Analytical Mashups","Current Trends in Web Engineering","","","","10.1007/978-3-642-27997-3_36","Julian EberiusMaik ThieleWolfgang Lehner","2012","http://link.springer.com/chapter/10.1007/978-3-642-27997-3_36","Chapter"
"An Aspect-Oriented Domain-Specific Language for Modeling Multi-Agent Systems in Social Simulations","Intelligent Data Engineering and Automated Learning - IDEAL 2012","","","","10.1007/978-3-642-32639-4_70","Diego de S. BragaFelipe Omena M. AlvesFernando Buarque de L. NetoLuis Carlos de S. Menezes","2012","http://link.springer.com/chapter/10.1007/978-3-642-32639-4_70","Chapter"
"Core Features of an Agent-Oriented Domain-Specific Language for JADE Agents","Trends in Practical Applications of Scalable Multi-Agent Systems, the PAAMS Collection","","","","10.1007/978-3-319-40159-1_18","Federico BergentiEleonora IottiAgostino Poggi","2016","http://link.springer.com/chapter/10.1007/978-3-319-40159-1_18","Chapter"
"Automated System and Domain-Specific Language for Medical Data Collection and Processing","Lecture Notes in Computational Intelligence and Decision Making","","","","10.1007/978-3-030-82014-5_25","Oleksii BoiarskyiSvitlana Popereshnyak","2022","http://link.springer.com/chapter/10.1007/978-3-030-82014-5_25","Chapter"
"RobotML, a Domain-Specific Language to Design, Simulate and Deploy Robotic Applications","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-34327-8_16","Saadia DhouibSelma KchirSerge StinckwichTewfik ZiadiMikal Ziane","2012","http://link.springer.com/chapter/10.1007/978-3-642-34327-8_16","Chapter"
"The Domain-Specific Language Strumok for Describing Actor-Oriented Systems with Shared Memory","Cybernetics and Systems Analysis","","54","5","10.1007/s10559-018-0085-1","V. O. LarinO. V. BantyshO. V. GalkinO. I. Provotar","2018","http://link.springer.com/article/10.1007/s10559-018-0085-1","Article"
"Developing a Domain-Specific Language for Scheduling in the European Energy Sector","Software Language Engineering","","","","10.1007/978-3-319-02654-1_2","Stefan SobernigMark StrembeckAndreas Beck","2013","http://link.springer.com/chapter/10.1007/978-3-319-02654-1_2","Chapter"
"Propagation engine prototyping with a domain specific language","Constraints","","19","1","10.1007/s10601-013-9151-5","Charles Prud’hommeXavier LorcaRémi DouenceNarendra Jussien","2014","http://link.springer.com/article/10.1007/s10601-013-9151-5","Article"
"Agents Assembly: Domain Specific Language for Agent Simulations","Advances in Practical Applications of Agents, Multi-Agent Systems, and Complex Systems Simulation. The PAAMS Collection","","","","10.1007/978-3-031-18192-4_42","Przemysław HołdaKajetan RachwałJan SawickiMaria GanzhaMarcin Paprzycki","2022","http://link.springer.com/chapter/10.1007/978-3-031-18192-4_42","Chapter"
"A Co-Design Approach for a Smart Cooking Appliance. The Application of a Domain Specific Language","Advances in Usability, User Experience, Wearable and Assistive Technology","","","","10.1007/978-3-030-80091-8_59","Matteo ZallioPaula KellyBarry CryanDamon Berry","2021","http://link.springer.com/chapter/10.1007/978-3-030-80091-8_59","Chapter"
"SIPE: A Domain-Specific Language for Specifying Interactive Programming Exercises","Towards a Synergistic Combination of Research and Practice in Software Engineering","","","","10.1007/978-3-319-65208-5_2","Jakub Swacha","2018","http://link.springer.com/chapter/10.1007/978-3-319-65208-5_2","Chapter"
